Order Date,Product Name,Revenue Stream,Unit Price,Quantity
2019-01-01,License 4,License,5.76,4
2019-01-01,Product 10,Product,78.39,1
2019-01-01,Product 6,Product,51.94,4
2019-01-02,Product 6,Product,51.14,3
2019-01-03,License 8,License,88.65,4
2019-01-03,License 1,License,97.4,3
2019-01-03,License 7,License,22.1,1
2019-01-03,Product 6,Product,74.0,2
2019-01-04,Product 8,Product,31.58,3
2019-01-05,License 5,License,78.57,1
2019-01-05,Product 6,Product,77.95,4
2019-01-05,License 7,License,4.98,3
2019-01-05,Product 7,Product,91.1,1
2019-01-05,License 4,License,84.66,3
2019-01-06,Product 4,Product,68.19,3
2019-01-07,Product 5,Product,5.98,2
2019-01-08,License 2,License,65.67,2
2019-01-08,Managed Service 3,Managed Service,35.77,1
2019-01-08,License 1,License,73.32,2
2019-01-08,Managed Service 2,Managed Service,63.33,1
2019-01-08,Product 6,Product,21.33,4
2019-01-09,Managed Service 3,Managed Service,12.49,2
2019-01-09,License 9,License,53.06,3
2019-01-10,Product 11,Product,16.33,3
2019-01-10,Product 5,Product,56.92,4
2019-01-10,Managed Service 3,Managed Service,32.4,3
2019-01-10,License 2,License,38.92,2
2019-01-10,Managed Service 1,Managed Service,10.86,3
2019-01-11,Managed Service 2,Managed Service,81.89,3
2019-01-11,License 1,License,98.4,1
2019-01-11,License 7,License,9.58,2
2019-01-11,License 1,License,56.45,4
2019-01-11,Product 9,Product,70.13,1
2019-01-12,Managed Service 1,Managed Service,94.55,3
2019-01-12,License 1,License,33.93,3
2019-01-13,Managed Service 2,Managed Service,93.29,1
2019-01-14,License 3,License,41.63,4
2019-01-14,Product 9,Product,25.3,4
2019-01-14,Product 10,Product,84.46,3
2019-01-14,Product 10,Product,77.92,1
2019-01-15,Managed Service 3,Managed Service,98.72,1
2019-01-15,Product 7,Product,64.37,4
2019-01-15,Managed Service 3,Managed Service,55.09,4
2019-01-16,Product 1,Product,48.33,4
2019-01-16,License 6,License,6.73,2
2019-01-16,Managed Service 2,Managed Service,79.08,4
2019-01-17,Product 1,Product,75.33,1
2019-01-17,Managed Service 1,Managed Service,34.22,2
2019-01-17,License 3,License,99.39,4
2019-01-17,License 7,License,75.2,3
2019-01-18,Product 3,Product,10.07,3
2019-01-18,Product 10,Product,72.97,1
2019-01-18,License 5,License,20.41,2
2019-01-18,Product 12,Product,64.75,4
2019-01-19,License 3,License,33.19,3
2019-01-20,License 9,License,9.81,4
2019-01-20,Product 9,Product,47.93,2
2019-01-20,Product 3,Product,95.16,1
2019-01-20,Product 3,Product,26.57,1
2019-01-20,License 2,License,83.76,1
2019-01-21,Product 6,Product,29.53,1
2019-01-21,Product 2,Product,66.82,3
2019-01-21,Product 10,Product,63.87,2
2019-01-22,License 4,License,99.39,1
2019-01-22,License 1,License,52.1,3
2019-01-22,Product 8,Product,99.18,4
2019-01-23,Product 5,Product,69.72,1
2019-01-23,License 4,License,16.81,3
2019-01-23,License 1,License,56.74,2
2019-01-23,License 6,License,72.41,4
2019-01-24,License 7,License,94.17,2
2019-01-24,License 1,License,52.5,1
2019-01-24,License 9,License,42.26,2
2019-01-24,License 2,License,70.21,4
2019-01-25,Product 12,Product,19.07,2
2019-01-25,Product 3,Product,92.28,1
2019-01-25,License 3,License,77.89,4
2019-01-26,Product 3,Product,13.55,1
2019-01-26,Managed Service 1,Managed Service,15.47,1
2019-01-27,License 7,License,70.92,4
2019-01-27,License 8,License,46.32,4
2019-01-28,Product 6,Product,44.59,3
2019-01-28,License 9,License,38.11,2
2019-01-28,Product 4,Product,82.95,3
2019-01-28,Product 10,Product,32.87,3
2019-01-29,Managed Service 3,Managed Service,1.89,4
2019-01-29,Product 7,Product,80.08,3
2019-01-29,Managed Service 1,Managed Service,59.14,2
2019-01-30,Product 7,Product,31.41,1
2019-01-30,Product 11,Product,67.1,3
2019-01-31,Product 9,Product,83.64,4
2019-01-31,Product 8,Product,47.46,4
2019-01-31,License 1,License,85.26,2
2019-01-31,Product 5,Product,36.59,3
2019-01-31,License 7,License,93.83,4
2019-02-01,Product 2,Product,57.27,2
2019-02-01,Managed Service 3,Managed Service,22.66,2
2019-02-01,Managed Service 1,Managed Service,40.38,3
2019-02-01,License 6,License,78.42,1
2019-02-01,License 4,License,29.91,4
2019-02-02,Managed Service 3,Managed Service,30.43,1
2019-02-02,License 1,License,14.21,2
2019-02-02,License 8,License,84.53,2
2019-02-03,License 5,License,21.85,3
2019-02-04,License 9,License,32.73,4
2019-02-04,Product 7,Product,82.1,2
2019-02-05,Product 3,Product,65.38,3
2019-02-05,Managed Service 2,Managed Service,86.83,2
2019-02-05,License 3,License,58.39,1
2019-02-05,License 1,License,74.01,1
2019-02-05,Product 10,Product,72.27,4
2019-02-06,Product 8,Product,15.22,1
2019-02-06,Managed Service 3,Managed Service,99.13,1
2019-02-06,License 8,License,13.05,4
2019-02-06,License 2,License,66.2,1
2019-02-06,Product 5,Product,62.31,3
2019-02-07,Product 11,Product,28.39,1
2019-02-07,Product 6,Product,22.23,4
2019-02-07,Product 3,Product,86.79,4
2019-02-07,Product 4,Product,26.5,2
2019-02-07,Product 6,Product,16.2,1
2019-02-08,License 7,License,4.25,3
2019-02-08,License 2,License,97.95,1
2019-02-08,Product 9,Product,40.68,3
2019-02-08,Product 12,Product,76.1,4
2019-02-09,License 3,License,22.97,1
2019-02-09,Managed Service 2,Managed Service,50.08,4
2019-02-09,License 5,License,24.23,3
2019-02-10,License 9,License,36.96,1
2019-02-10,Product 12,Product,7.84,3
2019-02-10,Managed Service 2,Managed Service,60.47,2
2019-02-10,License 5,License,97.25,3
2019-02-10,Managed Service 2,Managed Service,17.25,4
2019-02-11,License 5,License,85.29,4
2019-02-11,License 9,License,10.57,2
2019-02-11,License 1,License,13.01,1
2019-02-11,Product 9,Product,38.33,3
2019-02-11,License 5,License,31.7,2
2019-02-12,Product 11,Product,75.04,2
2019-02-12,Managed Service 3,Managed Service,74.79,4
2019-02-12,Product 9,Product,95.21,1
2019-02-12,Managed Service 3,Managed Service,82.83,2
2019-02-13,Product 7,Product,85.28,1
2019-02-13,Product 8,Product,17.08,1
2019-02-14,License 7,License,7.37,2
2019-02-14,License 3,License,32.57,4
2019-02-14,License 3,License,52.12,1
2019-02-14,License 8,License,77.78,4
2019-02-15,License 8,License,76.6,2
2019-02-15,License 3,License,19.05,1
2019-02-16,Product 2,Product,2.18,4
2019-02-16,Managed Service 2,Managed Service,16.29,2
2019-02-16,Product 10,Product,24.48,2
2019-02-16,License 3,License,21.9,3
2019-02-17,License 3,License,9.89,2
2019-02-17,Managed Service 2,Managed Service,5.68,3
2019-02-18,Product 2,Product,96.55,4
2019-02-18,Product 10,Product,68.73,2
2019-02-19,Product 2,Product,30.32,3
2019-02-20,License 7,License,17.23,4
